method,dataset,task,bit,mean_map
Static-S1,iapr,I2T,128,0.40543732722128045
Static-S1,iapr,T2I,16,0.36310032310487833
Static-S1,iapr,T2I,32,0.38730928023618116
Static-S1,iapr,T2I,64,0.3989301552533084
Static-S1,iapr,T2I,128,0.40382720184829896
Static-S1,mscoco,I2T,16,0.4701149787783078
Static-S1,mscoco,I2T,32,0.47174946219342095
Static-S1,mscoco,I2T,64,0.4721740555718193
Static-S1,mscoco,I2T,128,0.48006339837506196
Static-S1,mscoco,T2I,16,0.4722881937385031
Static-S1,mscoco,T2I,32,0.4732044112816784
Static-S1,mscoco,T2I,64,0.477473434176014
Static-S1,mscoco,T2I,128,0.4829514800445273
Static-S1,nuswide81,I2T,16,0.26671476820926127
Static-S1,nuswide81,I2T,32,0.27312457573399396
Static-S1,nuswide81,I2T,64,0.2784247725590486
Static-S1,nuswide81,I2T,128,0.27874075703396317
Static-S1,nuswide81,T2I,16,0.2746534742077512
Static-S1,nuswide81,T2I,32,0.28327755953278433
Static-S1,nuswide81,T2I,64,0.2884833752686629
Static-S1,nuswide81,T2I,128,0.2918394115772371
