dataset,method,seed,stage,metric,value
iapr,Full,9231,7,i2t_map,0.49183517784692865
iapr,Full,9231,7,i2t_old,0.49039380777507835
iapr,Full,9231,7,t2i_map,0.4639893800382289
iapr,Full,9231,7,t2i_old,0.4620087843770392
iapr,Full,9231,8,i2t_map,0.49271818034421333
iapr,Full,9231,8,i2t_old,0.4924074598692701
iapr,Full,9231,8,t2i_map,0.4690596188163825
iapr,Full,9231,8,t2i_old,0.4688861850482276
iapr,Full,9231,9,i2t_map,0.4865427077022249
iapr,Full,9231,9,i2t_old,0.4866235191048632
iapr,Full,9231,9,t2i_map,0.466809623640282
iapr,Full,9231,9,t2i_old,0.46682658443576003
iapr,Full,9231,10,i2t_map,0.48479237841070416
iapr,Full,9231,10,i2t_old,0.4855652277831253
iapr,Full,9231,10,t2i_map,0.47075624312078573
iapr,Full,9231,10,t2i_old,0.47111024931277073
iapr,UIH,2096,1,i2t_map,0.23018486877189753
iapr,UIH,2096,1,i2t_old,nan
iapr,UIH,2096,1,t2i_map,0.22769264380120344
iapr,UIH,2096,1,t2i_old,nan
iapr,UIH,2096,2,i2t_map,0.22894756153005708
iapr,UIH,2096,2,i2t_old,0.2310190566101143
iapr,UIH,2096,2,t2i_map,0.2283003022932442
iapr,UIH,2096,2,t2i_old,0.224787218142575
iapr,UIH,2096,3,i2t_map,0.22980358708204177
iapr,UIH,2096,3,i2t_old,0.22849783593865047
iapr,UIH,2096,3,t2i_map,0.23050338130639303
iapr,UIH,2096,3,t2i_old,0.22987459828537563
iapr,UIH,2096,4,i2t_map,0.23079529710053048
iapr,UIH,2096,4,i2t_old,0.22992124317951176
iapr,UIH,2096,4,t2i_map,0.23318051200599316
iapr,UIH,2096,4,t2i_old,0.23317208954716626
iapr,UIH,2096,5,i2t_map,0.22938505204929996
iapr,UIH,2096,5,i2t_old,0.23042259971927703
iapr,UIH,2096,5,t2i_map,0.22982778894414668
iapr,UIH,2096,5,t2i_old,0.23094336141874913
iapr,UIH,2096,6,i2t_map,0.22760162819866983
iapr,UIH,2096,6,i2t_old,0.22955115757964253
iapr,UIH,2096,6,t2i_map,0.22779284268589234
iapr,UIH,2096,6,t2i_old,0.2280753701041373
iapr,UIH,2096,7,i2t_map,0.22732957346411126
iapr,UIH,2096,7,i2t_old,0.22754869915964504
iapr,UIH,2096,7,t2i_map,0.22831797491385447
iapr,UIH,2096,7,t2i_old,0.22779405040855044
iapr,UIH,2096,8,i2t_map,0.2275072256059532
iapr,UIH,2096,8,i2t_old,0.2273679175781745
iapr,UIH,2096,8,t2i_map,0.2282728675010815
iapr,UIH,2096,8,t2i_old,0.22843932449574184
iapr,UIH,2096,9,i2t_map,0.22790822124686186
iapr,UIH,2096,9,i2t_old,0.228028304876182
iapr,UIH,2096,9,t2i_map,0.2278406723043843
iapr,UIH,2096,9,t2i_old,0.2276564736134756
iapr,UIH,2096,10,i2t_map,0.226857305713187
iapr,UIH,2096,10,i2t_old,0.22703374702824766
iapr,UIH,2096,10,t2i_map,0.22761960922785993
iapr,UIH,2096,10,t2i_old,0.22779381204102359
