family,track,dataset,method,condition,representation,bit,seed,status,protocol_sha256,configuration_sha256,source_artifact_sha256,record_sha256,i2t_final_map,t2i_final_map,final_map,stage_map,old_gallery_map,train_time_s
full,strict-unpaired-online,iapr,BC-GTSH,full,CLIP,128,6513,completed,f733f150879196de450262c0cbf331b8611a6841e6fe4a772188a963d6b7ec93,526205648b9f3921e50d78045cbdd009070cf30b7e618f2e4fb1fec8e717e2e4,91ea09dc0a5b9b5cd78cce6cf677b2e674418b4d800420e3ded7d1c479d1710a,5fc3eb3558bd5aedb3a1178ec0392dcca87465f08842afe2e090495d72590be5,0.49452774912067676,0.4803651170528174,0.48744643308674707,0.4983340401597105,0.49585187123394,142.9755791
full,strict-unpaired-online,iapr,BC-GTSH,full,CLIP,128,9231,completed,f733f150879196de450262c0cbf331b8611a6841e6fe4a772188a963d6b7ec93,74a4773bfb2a35a9b40b581010d85b1b9357ac60dadab05701bac35c0490e700,884528c2e142eb84e05328d5ef2017cbc1d70664a47a8f02dd14eaa770daeb8c,96108b0ecbb7f0c6fd8fb0cd09d69bb8caa1811bfacea3b5a28ca56b8e2ae62a,0.5018065954679751,0.4855372857059739,0.4936719405869745,0.5026318716517135,0.5006149854706302,133.85080900000014
full,strict-unpaired-online,mscoco,BC-GTSH,full,CLIP,16,2096,completed,4a58527983634064540cf150737dcfa9a75684fe6125b771e8bd831715f78063,8ec4ac6b7eeba578610172cf4868f6a5e38dd23653d583c35750cfe1da138c3e,fa6fd9cc50bfb5cc9480ac4a3e136bec54ff1466987110bd119cea6c2c9f0cd2,d4e7535ef8b9e63324b7028de9040de69f823fa53a8c4f0b9b7fbcce23b501a0,0.5308146945997303,0.5485158892824823,0.5396652919411062,0.5251086017111652,0.5206266828036272,171.3257983000949
full,strict-unpaired-online,mscoco,BC-GTSH,full,CLIP,16,6513,completed,4a58527983634064540cf150737dcfa9a75684fe6125b771e8bd831715f78063,20173db68cb98c799beb68b2ccb665d648eb22bfdc35260188e7129bc069afba,9206e500a50dc752e69b1f0184710b28c6cbd0151a49a2200580dda0a7c89fc0,23bb038d8d7a11ae97ed865402e72ce59013c3d9fb5b03c6a27c55a0df158300,0.5216421546757445,0.534843958589969,0.5282430566328568,0.5171926583698725,0.5134126002826238,172.47382289823145
full,strict-unpaired-online,mscoco,BC-GTSH,full,CLIP,16,9231,completed,4a58527983634064540cf150737dcfa9a75684fe6125b771e8bd831715f78063,3acf8befa09405f2a27caaa994d7e701a7463fe9e08242b34d470767502286f7,74769cff876d631b4c9194e3bf57f2e96cb5f662504e8bca105aa6fd4931f1db,54c7e34048c93fab9498447f45aa208388126954b8f32bab517b03d46b94660a,0.5358065395168364,0.5517404077678473,0.5437734736423419,0.5262685342624649,0.5207330804653632,170.38163710013032
full,strict-unpaired-online,mscoco,BC-GTSH,full,CLIP,32,2096,completed,4a58527983634064540cf150737dcfa9a75684fe6125b771e8bd831715f78063,47a67e495c2f00a996c1a765e32ddf6ae99ede99ab4778229299ea78918a4b7b,7175890868e933da6914dcd61bea9fd6dff351b90e09edc453c7da3b5471398b,2d11c853c11ea6ff2444d5d9b49b548ff31b502822265b4ca04899c26494bb7c,0.5470117052344405,0.5607526978424666,0.5538822015384536,0.5352922793082645,0.5321216593734455,169.82252509891987
full,strict-unpaired-online,mscoco,BC-GTSH,full,CLIP,32,6513,completed,4a58527983634064540cf150737dcfa9a75684fe6125b771e8bd831715f78063,45fc47af4ded7710770cd63347ba5cc473ccc5ceaf6a777bb06e060ae73e6e47,4925833d308ad82f21ecd2e198cad62658a44cdcc129f150ab0a64b40262c896,edd4e403e3221478b8b0eb0e32e6d19fadb97b01fdc950e60c83c616533a7205,0.5611476473162743,0.5790060001689008,0.5700768237425875,0.5485313697043451,0.5459835446247638,166.89318169932812
full,strict-unpaired-online,mscoco,BC-GTSH,full,CLIP,32,9231,completed,4a58527983634064540cf150737dcfa9a75684fe6125b771e8bd831715f78063,e8b8b1c2071c8fc7608c5142d83b7552740b2d0c28ee980af1370ea2e384dc18,e7518964e76bdeac017b548b5f9aa8e6540adf3f60f3ffcac374bcea534c2920,9fbdc83c7d9e9d88864d7fb4cc96a613a0a18de41ac6e51df3e613442df5783d,0.5551072865410065,0.5710920504572676,0.5630996684991371,0.535283741552764,0.5309857535803819,165.66295940056443
full,strict-unpaired-online,mscoco,BC-GTSH,full,CLIP,64,2096,completed,4a58527983634064540cf150737dcfa9a75684fe6125b771e8bd831715f78063,19f0c34cb3ceb3b3851245959e2e7103664d6ccfa08b532bb5f51bf2a27cef50,6d5d439a2e98fd71dc25a1660f5529567d67da902a3508a42519afde13724d20,3f331f99b530a0e87415bd9adc3d87a895ba27b42df64d292383c8a6592a1990,0.577102604490266,0.5923621578491419,0.5847323811697039,0.5587349502781448,0.5559958753006273,164.86392460018396
full,strict-unpaired-online,mscoco,BC-GTSH,full,CLIP,64,6513,completed,4a58527983634064540cf150737dcfa9a75684fe6125b771e8bd831715f78063,0fa9c6b6eed3317d322ebdbcf8857c2b3fa419cd9519682c93069d9d49026ba6,28d8d2b507a14eee6434b2e56d3554a0390916889fe2e651c2e333e0ff8ff8d4,3b20d8905931e2fb1ab147cdd994dda2a9005cfb73e1791832c1537317de0594,0.5591720389364614,0.5755617506953709,0.5673668948159161,0.5405175216389797,0.5389236008159756,174.59269010089338
full,strict-unpaired-online,mscoco,BC-GTSH,full,CLIP,64,9231,completed,4a58527983634064540cf150737dcfa9a75684fe6125b771e8bd831715f78063,5955479eff940fe02f089c173a6f2254dc54fe2e17e365d5574fe0e218fbcf66,83faed9b5f257c8824b6b448b6e0d55b823ec03e49ad9cbcadb75b972e50928e,4edf256fa05612fce1aade6a4137422d39375e1162bab403b6943d296a09f30c,0.564854278637103,0.5833982083887782,0.5741262435129406,0.543232832273653,0.5393089316514831,164.29678830131888
full,strict-unpaired-online,mscoco,BC-GTSH,full,CLIP,128,2096,completed,4a58527983634064540cf150737dcfa9a75684fe6125b771e8bd831715f78063,08f9574901dc294ccff79563b3734683c4345a572bd06ef5efca4ae014fd2c39,6e8d637993e1bb4aa9560f955ca0cfd810ca2231068459359a33b2a198da2290,6a6d2994290af3561782d406f031109548e272cd7c54f1456fb0d6622b7fa8ef,0.5759747916374104,0.5951434119348806,0.5855591017861455,0.5608296024107875,0.5602976987115048,166.8332150010392
full,strict-unpaired-online,mscoco,BC-GTSH,full,CLIP,128,6513,completed,4a58527983634064540cf150737dcfa9a75684fe6125b771e8bd831715f78063,5be5ed91d3220540c845fcc0e61f2e20b33768d04b7faaec40fcfee2f74f3e10,520442208bc7030e4961eeb7b4db2d1640bd0d9094889ec90ccca55981588f5c,3f2c2eaa63a48d7896e986e6b70956f0baa57d98d06a4f25e9282e098d89a792,0.5719565162948733,0.5910913984456483,0.5815239573702609,0.551121878921758,0.5486039034878432,163.07912310026586
full,strict-unpaired-online,mscoco,BC-GTSH,full,CLIP,128,9231,completed,4a58527983634064540cf150737dcfa9a75684fe6125b771e8bd831715f78063,f0dbcd9a1b9c3b6f3f24a329060c0a5413853cc22cd1f66c6530fe71da884a25,57c2a4a815c9975d392f600a6ab2cc5903d98f879f7dbd9abd3548134f192d83,ba720f03c6e189faf5894b95a51c4459ab00c581007093229fcbe8a1357707d0,0.5800423177374839,0.6000983590546466,0.5900703383960653,0.5622553549865745,0.5601323584431613,165.15216850023717
